Nombre,Simbolo,Precio,MarketCap,Volumen_24h
StablR Euro,EURR,1.15,0.0,0.0
Tether Gold Tokens,XAUT0,4907.66,0.0,4291764874.5
Fellaz,FLZ,0.02864,0.0,0.0
SyncGPT,SYNC,0.06709,0.0,0.0
Autonomi,ANT,0.07837,0.0,0.0
Toko Token,TKO,0.06288,0.0,0.0
Bitcoin Gold,BTG,0.6088,0.0,0.0
PlatON,LAT,0.001562,0.0,0.0
Abelian,ABEL,0.09457,0.0,0.0
Enzyme,MLN,3.56,0.0,0.0
Treehouse,TREE,0.06757,0.0,0.0
Stader,SD,0.1535,0.0,0.0
Open Loot,OL,0.01343,0.0,0.0
iShares Core S&P Total US Stock Market Tokenized ETF (Ondo),ITOTon,151.66,0.0,2591.71
MOBOX,MBOX,0.02085,0.0,0.0
Nimiq,NIM,0.0007554,0.0,0.0
Hegic,HEGIC,0.01468,0.0,0.0
Epic Chain,EPIC,0.3072,0.0,0.0
Phoenix,PHB,0.1634,0.0,0.0
Juventus Fan Token,JUV,0.5714,0.0,0.0
Alaya Governance Token,AGT,0.004471,0.0,0.0
Vultisig,VULT,0.1281,0.0,0.0
Fartboy,FARTBOY,0.008302,0.0,0.0
GameStop (gamestop-coin.vip),GME,2.014e-05,0.0,0.0
CREPE,CREPE,1.421e-05,0.0,0.0
GaiAI,GAIX,0.0502,0.0,0.0
DGLD - Digital Gold Token,DGLD,4926.42,0.0,0.0
Aspecta,ASP,0.02827,0.0,0.0
DuckChain,DUCK,0.001148,0.0,0.0
Mansory,MNSRY,0.009127,0.0,0.0
Pikaboss,PIKA,0.071947,0.0,0.0
Solv Protocol,SOLV,0.005496,0.0,0.0
Bella Protocol,BEL,0.1015,0.0,0.0
Yee Token,YEE,0.008117,0.0,0.0
PepeCoin,PEPECOIN,0.06268,0.0,0.0
Atletico De Madrid Fan Token,ATM,0.8462,0.0,0.0
WeBuy,WE,0.01845,0.0,0.0
GAIB,GAIB,0.03232,0.0,0.0
Avalon Labs (AVL),AVL,0.04089,0.0,0.0
Manchester City Fan Token,CITY,0.5223,0.0,0.0
Epic Private Internet Cash,EPIC,0.3816,0.0,0.0
iShares MSCI Emerging Markets Tokenized ETF (Ondo),EEMon,60.87,0.0,99616.35
Intel Tokenized Stock (Ondo),INTCon,50.61,0.0,0.0
Green Satoshi Token (SOL),GST,0.001546,0.0,0.0
Arsenal Fan Token,AFC,0.383,0.0,0.0
Stonks,STNK,11.28,0.0,0.0
Bluwhale,BLUAI,0.005326,0.0,0.0
Telos,TLOS,0.01459,0.0,0.0
Arowana,ARW,0.2849,0.0,0.0
Build On BNB,BOB,0.071261,0.0,0.0
Milady Meme Coin,LADYS,0.087179,0.0,0.0
MESSIER,M87,0.055935,0.0,0.0
VNX Swiss Franc,VCHF,1.28,0.0,0.0
